Category,Step,Exercise,Level,Reps,Sets
Leg Raise,6,Hanging Knee Raises,Beginner,5,1
Leg Raise,6,Hanging Knee Raises,Intermediate,10,2
Leg Raise,6,Hanging Knee Raises,Advanced,15,2
Leg Raise,7,Hanging Bent Leg Raises,Beginner,5,1
Leg Raise,7,Hanging Bent Leg Raises,Intermediate,10,2
Leg Raise,7,Hanging Bent Leg Raises,Advanced,15,2
Leg Raise,8,Hanging Frog Raises,Beginner,5,1
Leg Raise,8,Hanging Frog Raises,Intermediate,10,2
Leg Raise,8,Hanging Frog Raises,Advanced,15,2
Leg Raise,9,Partial Straight Leg Raises,Beginner,5,1
Leg Raise,9,Partial Straight Leg Raises,Intermediate,10,2
Leg Raise,9,Partial Straight Leg Raises,Advanced,15,2
Leg Raise,10,Hanging Straight Leg Raises,Beginner,5,1
Leg Raise,10,Hanging Straight Leg Raises,Intermediate,10,2
Leg Raise,10,Hanging Straight Leg Raises,Advanced,30,2
Bridge,1,Short Bridges,Beginner,10,1
Bridge,1,Short Bridges,Intermediate,25,2
Bridge,1,Short Bridges,Advanced,50,3
Bridge,2,Straight Bridges,Beginner,10,1
Bridge,2,Straight Bridges,Intermediate,20,2
Bridge,2,Straight Bridges,Advanced,40,3
Bridge,3,Angled Bridges,Beginner,8,1
Bridge,3,Angled Bridges,Intermediate,15,2
Bridge,3,Angled Bridges,Advanced,30,3
Bridge,4,Head Bridges,Beginner,8,1
Bridge,4,Head Bridges,Intermediate,15,2
Bridge,4,Head Bridges,Advanced,25,2
Bridge,5,Half Bridges,Beginner,8,1
Bridge,5,Half Bridges,Intermediate,15,2
Bridge,5,Half Bridges,Advanced,20,2
Bridge,6,Full Bridges,Beginner,6,1
Bridge,6,Full Bridges,Intermediate,10,2
Bridge,6,Full Bridges,Advanced,15,2
Bridge,7,Wall Walking Bridge Down,Beginner,3,1
Bridge,7,Wall Walking Bridge Down,Intermediate,6,2
Bridge,7,Wall Walking Bridge Down,Advanced,10,2
Bridge,8,Wall Walking Bridge Up,Beginner,2,1
Bridge,8,Wall Walking Bridge Up,Intermediate,4,2
Bridge,8,Wall Walking Bridge Up,Advanced,8,2
Bridge,9,Closing Bridges,Beginner,1,1
Bridge,9,Closing Bridges,Intermediate,3,2
Bridge,9,Closing Bridges,Advanced,6,2
Bridge,10,Stand to Stand Bridges,Beginner,1,1
Bridge,10,Stand to Stand Bridges,Intermediate,3,2
Bridge,10,Stand to Stand Bridges,Advanced,10,2
Handstand Push-up,4,Half Handstand Push-ups,Beginner,5,1
Handstand Push-up,4,Half Handstand Push-ups,Intermediate,10,2
Handstand Push-up,4,Half Handstand Push-ups,Advanced,20,2
Handstand Push-up,5,Handstand Push-ups,Beginner,5,1
Handstand Push-up,5,Handstand Push-ups,Intermediate,10,2
Handstand Push-up,5,Handstand Push-ups,Advanced,15,2
Handstand Push-up,6,Close Handstand Push-ups,Beginner,5,1
Handstand Push-up,6,Close Handstand Push-ups,Intermediate,9,2
Handstand Push-up,6,Close Handstand Push-ups,Advanced,12,2
Handstand Push-up,7,Uneven Handstand Push-ups,Beginner,5,1
Handstand Push-up,7,Uneven Handstand Push-ups,Intermediate,8,2
Handstand Push-up,7,Uneven Handstand Push-ups,Advanced,10,2
Handstand Push-up,8,Half One-Arm Handstand Push-ups,Beginner,4,1
Handstand Push-up,8,Half One-Arm Handstand Push-ups,Intermediate,6,2
Handstand Push-up,8,Half One-Arm Handstand Push-ups,Advanced,8,2
Handstand Push-up,9,Lever Handstand Push-ups,Beginner,3,1
Handstand Push-up,9,Lever Handstand Push-ups,Intermediate,4,2
Handstand Push-up,9,Lever Handstand Push-ups,Advanced,6,2
Handstand Push-up,10,One-Arm Handstand Push-ups,Beginner,1,1
Handstand Push-up,10,One-Arm Handstand Push-ups,Intermediate,2,2
Handstand Push-up,10,One-Arm Handstand Push-ups,Advanced,5,1
